leaf,category,answer_type,field,ref,n_items
fully_diluted_basis,cap_table,binary,fully_diluted_basis,3.4,8
investor_ownership_pct,cap_table,numeric,investor_ownership_pct,3.2.2,4
safe_pre_post,convertibles,binary,safe_cap_type,2.1.4,16
safe_cap_vs_discount_applies,convertibles,categorical,safe_cap_vs_discount_applies,2.1.3,13
safe_valuation_cap,convertibles,numeric,safe_valuation_cap,2.1.1,8
convert_vs_preference_decision,exit_waterfall,binary,convert_vs_preference_decision,4.4,2
preference_stack_payout,exit_waterfall,numeric,preference_stack_payout,4.3,2
cliff_present,founder_equity,binary,cliff_present,6.2,12
vesting_schedule,founder_equity,multi_part,vesting_schedule,6.1,9
option_strike_409a,founder_equity,numeric,option_strike_409a,6.4,7
preference_seniority,priced_equity,binary,preference_seniority,1.3.4,11
liquidation_preference_multiple,priced_equity,categorical,liquidation_preference_multiple,1.3.1,9
round_size,priced_equity,numeric,round_size,1.2.1,10
securities_exemption,regulatory,categorical,securities_exemption,7.1,10
s1_use_of_proceeds,regulatory,multi_part,s1_use_of_proceeds,7.3,5
form_d_fields,regulatory,numeric,form_d_field_value,7.2,2
information_rights,rights_governance,binary,information_rights,5.3,12
board_seats_investor,rights_governance,numeric,board_seats_investor,5.1,9
flag_internal_inconsistency,risk_flag,binary,flag_internal_inconsistency,8.6,5
