leaf,item,field,answer,source_route,source_state,n_spans,min_span,quote_in_full,quote_in_window,window_reason,issues
post_money_valuation,1491419_000121390022046600,post_money_valuation,68000000,by-name,verified-present,1,126,1,1,quote present,
post_money_valuation,1529113_000121390024057583,post_money_valuation,275000000,by-name,verified-present,1,131,1,1,quote present,
post_money_valuation,1368365_000136836520000062,post_money_valuation,5000000,by-name,verified-present,1,121,1,1,quote present,
post_money_valuation,1089872_000095017025106543,post_money_valuation,106000000,by-name,verified-present,1,126,1,1,quote present,
pre_vs_post_money,0001193125-14-335661_d770501dex1024,pre_vs_post_money,pre-money,by-name,verified-present,2,87,1,1,all 2 span(s) present,
pre_vs_post_money,0000950123-10-024887_d70440a2exv3w3,pre_vs_post_money,pre-money,by-name,verified-present,1,151,1,1,quote present,
pre_vs_post_money,0001047469-04-038327_filename35,pre_vs_post_money,pre-money,by-name,verified-present,1,179,1,1,quote present,
pre_vs_post_money,0001140361-23-024212_ny20009051x2_8k,pre_vs_post_money,pre-money,by-name,verified-present,1,188,1,1,quote present,
pre_vs_post_money,0000912057-19-000378_filename29,pre_vs_post_money,pre-money,by-name,verified-present,1,188,1,1,quote present,
pre_vs_post_money,0000950123-14-012213_filename17,pre_vs_post_money,pre-money,by-name,verified-present,1,189,1,1,quote present,
pre_vs_post_money,0001144204-10-046527_v195191_ex10-1,pre_vs_post_money,pre-money,by-name,verified-present,1,184,1,1,quote present,
pre_vs_post_money,0001193125-11-026716_filename6,pre_vs_post_money,pre-money,by-name,verified-present,1,188,1,1,quote present,
pre_vs_post_money,0001437749-18-019139_ex_127203,pre_vs_post_money,pre-money,by-name,verified-present,1,184,1,1,quote present,
pre_vs_post_money,0001144204-11-010165_v212119_ex10-1,pre_vs_post_money,pre-money,by-name,verified-present,1,184,1,1,quote present,
pre_vs_post_money,0001013762-09-002046_ex412,pre_vs_post_money,pre-money,by-name,verified-present,1,183,1,1,quote present,
pre_vs_post_money,0001607062-21-000118_filename14,pre_vs_post_money,pre-money,by-name,verified-present,1,179,1,1,quote present,
pre_vs_post_money,0001013762-09-001055_ex101,pre_vs_post_money,pre-money,by-name,verified-present,1,183,1,1,quote present,
pre_vs_post_money,0001493152-24-049571_form8-k,pre_vs_post_money,post-money,by-name,verified-present,1,188,1,1,quote present,
pre_vs_post_money,0001213900-25-014354_ea023010901ex99-1_fold,pre_vs_post_money,post-money,by-name,verified-present,1,190,1,1,quote present,
pre_vs_post_money,0001511164-13-000507_ngeform8k11413,pre_vs_post_money,post-money,by-name,verified-present,1,190,1,1,quote present,
pre_vs_post_money,0001628280-24-041596_exhibit109-sx1,pre_vs_post_money,post-money,by-name,verified-present,1,185,1,1,quote present,
pre_vs_post_money,0001019687-14-000407_oculus_8k-ex1002,pre_vs_post_money,post-money,by-name,verified-present,1,184,1,1,quote present,
pre_vs_post_money,0001019687-13-002945_oculus_8k-ex1001,pre_vs_post_money,post-money,by-name,verified-present,1,184,1,1,quote present,
price_per_share,astea_series_a,price_per_share,3.63,by-content,verified-present,1,271,1,1,quote present,
price_per_share,wolverine_series_a,price_per_share,1000.0,by-content,verified-present,1,269,1,1,quote present,
price_per_share,kiwa_series_b,price_per_share,1.3,by-content,verified-present,1,276,1,1,quote present,
price_per_share,psm_series_e,price_per_share,1000.0,by-content,verified-present,1,278,1,1,quote present,
price_per_share,gelesis_certificate,price_per_share,1.26,by-content,verified-present,1,300,1,1,quote present,
price_per_share,landing_page_series,price_per_share,1.0,by-content,verified-present,1,272,1,1,quote present,
price_per_share,mobile_systems_s1,price_per_share,0.2,by-content,verified-present,1,272,1,1,quote present,
price_per_share,washington_group,price_per_share,0.625,by-content,verified-present,1,299,1,1,quote present,
round_size,1260990,round_size,21272455,unresolved,not-checkable,1,43,,1,quote present,
round_size,1498738,round_size,5000000,unresolved,not-checkable,1,42,,1,quote present,
round_size,1597815,round_size,3728926,unresolved,not-checkable,1,42,,1,quote present,
round_size,1981408,round_size,14040000,by-content,verified-absent,1,43,0,1,quote present,validating quote NOT found in the source document
round_size,1436444,round_size,7661116,unresolved,not-checkable,1,42,,1,quote present,
round_size,1887997,round_size,6085780,unresolved,not-checkable,1,42,,1,quote present,
round_size,1601118,round_size,8881213,unresolved,not-checkable,1,42,,1,quote present,
round_size,1520726,round_size,5500000,unresolved,not-checkable,1,42,,1,quote present,
round_size,1651590,round_size,5787732,unresolved,not-checkable,1,42,,1,quote present,
round_size,1880063,round_size,5300600,unresolved,not-checkable,1,42,,1,quote present,
per_investor_allocation,roka,per_investor_allocation,4000000,by-name,verified-present,1,108,1,1,quote present,
per_investor_allocation,casmedical,per_investor_allocation,9418200,by-name,verified-present,1,194,1,1,quote present,
per_investor_allocation,ocular,per_investor_allocation,1650000,by-name,verified-present,1,97,1,1,quote present,
per_investor_allocation,navidea,per_investor_allocation,3000000,by-name,verified-present,1,107,1,1,quote present,
per_investor_allocation,quantrx,per_investor_allocation,46715.64,by-name,verified-present,1,93,1,1,quote present,
liquidation_preference_multiple,1236997_000106299308001834,liquidation_preference_multiple,1x,by-name,verified-present,1,116,1,1,quote present,
liquidation_preference_multiple,1283259_000149315225016953,liquidation_preference_multiple,1x,by-name,verified-present,1,116,1,1,quote present,
liquidation_preference_multiple,1479290_000119312514020967,liquidation_preference_multiple,1x,by-name,verified-present,1,117,1,1,quote present,
liquidation_preference_multiple,1538716_000119312519245313,liquidation_preference_multiple,2x,by-name,verified-present,1,148,1,1,quote present,
liquidation_preference_multiple,1883085_000188308524000060,liquidation_preference_multiple,2x,by-name,verified-present,1,147,1,1,quote present,
liquidation_preference_multiple,1904616_000121390023031361,liquidation_preference_multiple,2x,by-name,verified-present,1,147,1,1,quote present,
liquidation_preference_multiple,1062195_000110465903012203,liquidation_preference_multiple,3x,by-name,verified-present,1,119,1,1,quote present,
